Date_Time,CO,SO2,TRS,H2S,THC,CH4,NMHC,NO,NO2,NOX,O3,NH3,PM2.5,RH,WS,WD,GR,LW,AT 2m,CO2,PC
12/13/2022 6:05,0.25,9.11,0.54,0.58,2.08,2.08,0,0.21,8.27,8.48,21.66,4.33,9.59,74.3,12.86,173.3,-0.28,-0.14,-13.1,434.1,0
12/13/2022 6:10,0.26,8.89,0.53,0.53,2.09,2.09,0,0.17,8.21,8.38,21.63,3.89,9.69,74.23,13.3,174.6,-0.22,-0.14,-13.04,433.9,0
12/13/2022 6:15,0.29,7.74,0.49,0.52,2.09,2.09,0,0.17,8.13,8.3,21.95,3.66,9.67,74.43,11,172.2,-0.17,-0.14,-13,433.1,0
12/13/2022 6:20,0.29,8.05,0.47,0.56,2.09,2.09,0,0.22,7.72,7.94,22.63,3.57,9.63,74.06,14.87,176.6,-0.21,-0.14,-13,432.6,0
12/13/2022 6:25,0.25,8.18,0.54,0.56,2.08,2.08,0,0.23,7.5,7.73,22.74,3.42,9.56,73.86,13.41,174.9,-0.17,-0.14,-13,432.9,0
12/13/2022 6:30,0.27,8.65,0.52,0.53,2.07,2.07,0,0.16,7.59,7.75,22.55,3.21,9.28,73.93,14.83,174.8,-0.17,-0.16,-13,432.9,0
12/13/2022 6:35,0.28,10.01,0.41,0.54,2.07,2.07,0,0.25,7.72,7.97,22.31,2.89,9.28,73.79,12,175.6,-0.19,-0.14,-12.96,433.2,0
12/13/2022 6:40,0.27,10.25,0.52,0.52,2.08,2.08,0,0.16,8.32,8.49,21.57,2.67,9.45,73.98,12.15,181.1,-0.21,-0.14,-12.9,433.9,0
12/13/2022 6:45,0.28,11.39,0.51,0.52,2.09,2.09,0,0.2,8.55,8.75,21.37,2.5,9.68,74.13,10.6,173.5,-0.21,-0.14,-12.9,434.1,0
12/13/2022 6:50,0.29,12.92,0.53,0.58,2.11,2.11,0,0.24,8.82,9.06,21.23,2.39,10.2,74.37,10.77,173,-0.25,-0.14,-12.81,433.9,0
