Date_Time,CO,SO2,TRS,H2S,THC,CH4,NMHC,NO,NO2,NOX,O3,NH3,PM2.5,RH,WS,WD,GR,LW,AT 2m,CO2,PC
12/20/2022 6:05,,,,,,,,,,,,,,,,,,,,,0
12/20/2022 6:10,,,,,,,,,,,,,,,,,-0.35,0.61,,,0
12/20/2022 6:15,0.25,0.09,-10,0.22,2.15,2.12,0.03,0.5,17.19,17.69,6.96,-0.53,4.33,70.8,2.87,216.5,-0.29,0.59,-29.56,432.6,0
12/20/2022 6:20,0.21,0.23,-10,0.26,2.11,2.11,0,0.37,15.26,15.63,9.43,-0.41,4.22,70.04,3.34,227.8,-0.73,0.59,-29.95,429.5,0
12/20/2022 6:25,0.19,0.18,-10,0.28,2.12,2.12,0,0.54,16.24,16.77,8.51,-0.32,4.26,69.82,3.62,217.9,-0.73,0.57,-30.25,429.7,0
12/20/2022 6:30,,,,,,,,,,,,,,,,,-0.69,0.61,,,0
12/20/2022 6:35,,,,,,,,,,,,,,70.49,3.59,216,-0.69,0.61,-30.12,,0
12/20/2022 6:40,0.23,0.12,-10,0.22,2.13,2.13,0,2.59,19.88,22.47,4.95,-0.49,4.29,70.68,3.92,221.2,-0.53,0.59,-30.04,435.4,0
12/20/2022 6:45,0.22,0.2,-10,0.31,2.14,2.14,0,1.79,18.97,20.76,5.26,-0.53,4.21,70.46,3.48,238.9,-0.7,0.57,-30.28,434.4,0
12/20/2022 6:50,0.23,0.31,-10,0.29,2.2,2.14,0.06,1.3,18,19.3,6.31,-0.55,4.11,70.58,3.11,227.6,-0.74,0.57,-30.28,433.2,0
12/20/2022 6:55,0.27,0.15,-10,0.23,2.22,2.14,0.08,2.32,19.5,21.83,5.35,-0.51,4.07,70.5,3.94,223.1,-0.65,0.57,-30.4,435.1,0
12/20/2022 7:00,0.28,0.27,-10,0.29,2.24,2.14,0.1,3.08,21.14,24.21,4.84,-0.43,4.23,70.5,2.75,236,-0.61,0.57,-30.38,440.3,0
12/20/2022 7:05,0.34,0.32,-10,0.28,2.22,2.13,0.1,2.15,20.07,22.22,6.21,-0.51,4.46,70.69,3.16,219.7,-0.6,0.57,-30.33,436.6,0
12/20/2022 7:10,0.48,0.19,-10,0.29,2.26,2.13,0.12,2.4,20.99,23.39,5.21,-0.55,4.59,70.75,3.32,240.4,-0.57,0.57,-30.35,438,0
12/20/2022 7:15,0.46,0.36,-10,0.3,2.29,2.14,0.14,3.44,24.26,27.7,3.26,-0.55,4.65,70.59,2.48,263.9,-0.56,0.57,-30.53,442.5,0
12/20/2022 7:20,0.31,0.44,-10,0.3,2.24,2.14,0.1,2.55,22.92,25.47,3.7,-0.61,4.57,70.5,1.88,249.4,-0.36,0.57,-30.69,439.7,0
12/20/2022 7:25,0.31,0.23,-10,0.4,2.18,2.13,0.05,12.42,25.06,37.48,3.73,10.55,4.77,70.97,2.73,224.2,-0.12,0.57,-30.15,438.8,0
12/20/2022 7:30,0.26,0.26,-10,0.31,2.13,2.13,0,3.17,21.5,24.68,5.93,1.33,4.92,70.99,2.84,235.6,-0.57,0.57,-30.07,434.2,0
12/20/2022 7:35,0.23,0.11,-10,0.3,2.15,2.13,0.01,2.48,22.3,24.78,4.56,-0.84,4.7,70.55,1.63,253.2,-0.67,0.57,-30.19,435.5,0
12/20/2022 7:40,0.24,0.38,-10,0.33,2.14,2.14,0,2.84,23.05,25.89,3.32,-2.74,4.34,70.32,0.69,264.8,-0.72,0.52,-30.27,437.7,0
12/20/2022 7:45,0.23,0.25,-10,0.33,2.19,2.15,0.05,2.49,23.09,25.58,2.87,-0.9,4.25,69.84,0.13,13.17,-0.57,0.52,-30.52,437.9,0
12/20/2022 7:50,0.22,0.34,-10,0.31,2.17,2.15,0.03,1.76,20.79,22.55,4.18,0.02,4.3,69.57,0,0,-0.67,0.52,-30.84,436,0
12/20/2022 7:55,0.22,0.16,-10,0.29,2.17,2.16,0.01,2.58,20.44,23.02,3.57,-0.36,4.47,69.32,1.83,325.9,-0.66,0.52,-31.29,431.5,0
12/20/2022 8:00,0.3,0.35,-10,0.33,2.23,2.16,0.08,5.52,23.48,29,1.9,-0.47,4.59,69.77,2.13,290.2,-0.69,0.55,-31.15,436.3,0
12/20/2022 8:05,0.31,0.33,-10,0.36,2.25,2.17,0.08,10.22,23.7,33.92,1.48,-0.51,4.86,70.27,1.83,288.2,-0.51,0.57,-30.97,437.7,0
12/20/2022 8:10,0.28,0.35,-10,0.35,2.24,2.17,0.07,9.45,24.17,33.62,1.58,-0.41,5.46,70.96,1.38,287.8,-0.25,0.57,-30.44,437.8,0
12/20/2022 8:15,0.25,0.33,-10,0.38,2.21,2.17,0.04,6.66,23.03,29.69,1.91,-0.25,5.78,70.82,0.16,354.7,-0.27,0.57,-30.52,436.2,0
12/20/2022 8:20,0.28,0.3,-10,0.37,2.21,2.17,0.04,7.75,23.47,31.22,1.62,-0.29,5.9,70.24,1.24,331.4,-0.3,0.57,-30.88,437.2,0
12/20/2022 8:25,0.26,0.35,-10,0.4,2.22,2.17,0.05,8.59,24.09,32.68,1.74,-0.42,6.95,70.22,0.57,310.4,-0.21,0.57,-30.81,437.2,0
12/20/2022 8:30,0.33,0.37,-10,0.44,2.27,2.17,0.1,12.12,25.31,37.43,0.94,-0.65,7.36,70.3,2.31,287.9,-0.15,0.57,-30.87,436.4,0
12/20/2022 8:35,0.6,0.34,-10,0.59,2.3,2.17,0.12,31.28,34.48,65.76,1.48,2.15,6.58,70.2,1.37,289.3,0,0.57,-30.92,439.7,0
12/20/2022 8:40,0.46,0.47,-10,0.48,2.27,2.17,0.09,14.97,31.29,46.26,1.62,0.75,5.93,70.39,0.78,239,0.15,0.57,-30.74,438.3,0
12/20/2022 8:45,0.42,0.14,-10,0.38,2.35,2.18,0.17,7.81,25.31,33.11,1.01,0.56,5.6,70.89,1.97,236.4,0.72,0.57,-30.33,441.2,0
12/20/2022 8:50,0.32,0.24,-10,0.35,2.27,2.17,0.1,9.23,27.93,37.16,1.79,0.14,5.71,70.7,1.21,299.5,0.78,0.57,-30.28,441.1,0
12/20/2022 8:55,0.4,0.24,-10,0.4,2.31,2.18,0.13,9.1,26.38,35.48,1.54,0.02,6.12,69.92,1.99,312.6,1.36,0.55,-30.85,440.3,0
12/20/2022 9:00,0.28,0.26,-10,0.31,2.19,2.16,0.03,3.17,19.89,23.06,3.73,0.07,5.8,69.95,2.07,332.5,2,0.55,-30.92,433.2,0
12/20/2022 9:05,0.23,0.42,-10,0.27,2.14,2.14,0,1.69,17.08,18.77,5.22,0.16,4.99,70.07,2.35,320.2,2.79,0.55,-31.06,428.4,0
12/20/2022 9:10,0.22,0.27,-10,0.31,2.14,2.14,0,1.22,15.52,16.73,6.41,0.2,4.68,70.23,1.5,313.4,3.49,0.52,-31,427.3,0
12/20/2022 9:15,0.22,0.15,-9.96,0.25,2.14,2.14,0,1.72,15.91,17.62,5.7,0.09,4.42,70.33,0.07,44.9,4.79,0.52,-30.91,436.3,0
12/20/2022 9:20,0.22,0.19,1.33,0.29,2.14,2.14,0,2.64,16.72,19.36,6.61,-0.25,4.46,70.48,1.19,334.5,6.34,0.55,-30.9,444.8,0
12/20/2022 9:25,0.37,0.36,1.32,0.35,2.27,2.16,0.1,8.15,21.48,29.63,3.27,-0.52,5.78,70.48,1.29,232.1,8.05,0.57,-30.88,437.4,0
12/20/2022 9:30,0.39,0.32,1.22,0.34,2.28,2.16,0.11,6.59,18.75,25.34,4.5,-0.57,6.76,70.24,0.89,296.2,10.62,0.55,-31.07,437.1,0
12/20/2022 9:35,0.31,0.19,1,0.26,2.24,2.16,0.07,5.4,16.56,21.96,5.59,-0.47,6.88,69.6,1.77,330.9,13.01,0.52,-31.52,434.3,0
12/20/2022 9:40,0.29,0.22,0.81,0.3,2.17,2.17,0,4.86,15.61,20.47,6.59,-0.36,7.03,69.43,1.88,319.5,15.52,0.52,-31.73,433.1,0
12/20/2022 9:45,0.26,0.22,0.77,0.32,2.17,2.17,0.01,4.86,14.36,19.22,6.93,-0.3,7.52,69.85,2.75,311.7,18.05,0.55,-31.56,431.3,0
12/20/2022 9:50,0.22,0.34,0.64,0.33,2.17,2.17,0,4.76,13.79,18.56,8.05,-0.34,6.45,69.95,3.04,312.3,20.16,0.52,-31.55,428,0
12/20/2022 9:55,0.21,0.39,0.53,0.28,2.16,2.16,0,5.09,13.23,18.32,7.95,-0.49,4.62,70,2.48,302.7,23.34,0.52,-31.5,428.2,0
12/20/2022 10:00,0.2,0.11,0.55,0.26,2.15,2.15,0,4.96,13.18,18.14,9.01,,4.22,70.13,2.7,312.8,26.46,0.55,-31.34,427.5,0
12/20/2022 10:05,0.22,0.22,0.58,0.25,2.15,2.15,0,5.3,12.85,18.15,9.36,,4.08,70.42,2.57,325.2,29.23,0.57,-31.12,427.1,0
12/20/2022 10:10,0.2,0.14,0.55,0.28,2.15,2.15,0,5.43,13.44,18.86,9.59,,4.12,70.46,2.48,304.5,31.17,0.55,-31,427,0
12/20/2022 10:15,0.19,0.28,0.53,0.32,2.15,2.15,0,5.28,13.04,18.32,9.19,,4.14,70.37,2.65,308.9,33.06,0.52,-31.01,426.8,0
12/20/2022 10:20,0.21,0.22,0.5,0.29,2.17,2.17,0,6.09,11.98,18.07,9.96,,4.26,70.09,2.08,335.9,35.11,0.55,-31.17,427.7,0
12/20/2022 10:25,0.2,0.36,0.49,0.25,2.16,2.16,0,7.47,12.99,20.45,9.37,,4.38,69.95,1.79,41.58,36.87,0.52,-31.1,428.5,0
12/20/2022 10:30,0.2,0.14,0.54,0.31,2.15,2.15,0,7.42,12.2,19.61,9.43,,4.37,70.18,2.39,17.08,38.58,0.52,-30.94,429,0
12/20/2022 10:35,0.2,0.22,0.45,0.25,2.15,2.15,0,5.96,10.97,16.93,10.38,,4.29,70.36,2.66,0.92,40.17,0.52,-30.88,427.9,0
12/20/2022 10:40,0.21,0.19,0.47,0.23,2.15,2.15,0,5.51,9.76,15.27,11.02,,4.28,70.4,3.43,9.49,41.1,0.55,-30.8,427.5,0
12/20/2022 10:45,0.21,0.1,0.43,0.22,2.15,2.15,0,5.49,9.19,14.68,11.19,,4.27,70.36,4.19,9.8,42.11,0.52,-30.83,427.9,0
12/20/2022 10:50,0.22,0.2,0.44,0.21,2.15,2.15,0,5.39,8.9,14.28,10.96,,4.21,70.13,3.81,338.2,43.02,0.55,-30.95,427.8,0
12/20/2022 10:55,0.21,0.14,0.49,0.24,2.15,2.15,0,5.47,9.44,14.91,10.58,,4.06,70.25,4.11,323.3,45.13,0.55,-30.85,427.7,0
12/20/2022 11:00,0.2,0.3,0.49,0.23,2.15,2.15,0,5.65,8.97,14.62,11.41,,3.99,70.42,4.88,339.1,47.9,0.57,-30.78,427.4,0
12/20/2022 11:05,0.22,0.26,0.43,0.21,2.15,2.15,0,5.42,8.86,14.28,11.31,,4,70.51,5.12,339.7,48.91,0.57,-30.66,427.1,0
12/20/2022 11:10,0.23,0.13,0.46,0.23,2.15,2.15,0,6.31,9.73,16.05,12.39,,4.09,70.67,4.88,357.9,50.94,0.55,-30.51,426.8,0
12/20/2022 11:15,0.22,0.11,0.47,0.23,2.15,2.15,0,7.09,10.01,17.1,11.19,,4.12,70.69,4.54,10.07,55.06,0.55,-30.44,427.6,0
12/20/2022 11:20,0.2,0.03,0.49,0.27,2.14,2.14,0,7.99,10.67,18.67,10.75,,4.21,70.75,3.91,2.57,57.43,0.55,-30.32,428.1,0
12/20/2022 11:25,0.22,0.2,0.47,0.23,2.14,2.14,0,8.15,11.1,19.25,11.07,,4.31,70.83,2.68,1.76,60.41,0.55,-30.18,428.3,0
12/20/2022 11:30,0.21,0.34,0.5,0.21,2.14,2.14,0,8.01,11.28,19.29,10.89,,4.38,70.98,2.54,1.86,66.54,0.55,-30.01,427.8,0
