Date_Time,CO,SO2,TRS,H2S,THC,CH4,NMHC,NO,NO2,NOX,O3,NH3,PM2.5,RH,WS,WD,GR,LW,AT 2m,CO2,PC
1/17/2023 6:05,0.25,0.28,0.55,0.16,2.22,2.18,0.04,0.31,10.93,11.23,14.16,,8.29,85.8,10.71,186.3,-0.24,1.09,-4.3,426.8,0
1/17/2023 6:10,0.29,0.38,0.58,0.15,2.2,2.18,0.02,0.33,9.69,10.03,15.09,,7.97,86,8.22,185.7,-0.29,1.09,-4.3,426.6,0
1/17/2023 6:15,0.28,0.3,0.59,0.16,2.25,2.18,0.08,0.39,9.52,9.9,15,,7.91,86.1,8.76,177.1,-0.33,1.09,-4.35,426.2,0
1/17/2023 6:20,0.25,0.47,0.61,0.14,2.24,2.18,0.07,0.29,8.82,9.11,15.22,,7.96,86.3,10.12,181.6,-0.43,1.09,-4.4,426.1,0
1/17/2023 6:25,0.22,0.38,0.52,0.12,2.22,2.18,0.05,0.34,6.68,7.02,17.25,,7.91,86.2,11.22,185.8,-0.25,1.09,-4.4,426.5,0
1/17/2023 6:30,0.25,0.36,0.51,0.14,2.23,2.18,0.05,0.21,4.96,5.17,19.03,,7.59,86,10.78,183,-0.26,1.09,-4.4,426.4,0
1/17/2023 6:35,0.25,0.23,0.63,0.14,2.24,2.2,0.05,0.26,4.72,4.97,19.24,,7.17,85.9,9.15,185.2,-0.25,1.09,-4.38,426.5,0
1/17/2023 6:40,0.25,0.27,0.59,0.12,2.22,2.21,0.01,0.23,5.38,5.61,18.88,,7.07,85.9,8.74,186.3,-0.23,1.09,-4.4,425.8,0
1/17/2023 6:45,0.27,0.32,0.53,0.11,2.26,2.21,0.04,0.31,7.13,7.43,17.07,,7.27,86.1,7.66,185.2,-0.21,1.09,-4.4,426.2,0
1/17/2023 6:50,0.26,0.23,0.57,0.15,2.26,2.23,0.03,0.35,11.31,11.66,13.37,,7.69,86.3,8.37,184,-0.25,1.09,-4.4,427,0
1/17/2023 6:55,0.27,0.24,0.57,0.14,2.31,2.24,0.07,0.39,13.79,14.19,10.48,,8.15,86.4,9.49,178.6,-0.19,1.09,-4.4,427.1,0
1/17/2023 7:00,0.26,0.26,0.65,0.14,2.35,2.27,0.08,0.58,16.08,16.66,8.68,,8.38,86.3,10.43,183.1,-0.31,1.09,-4.4,427,0
1/17/2023 7:05,0.26,0.14,0.59,0.16,2.34,2.29,0.05,0.85,18.52,19.36,6.68,,8.44,86.2,7.46,180.2,-0.4,1.09,-4.4,427.2,0
1/17/2023 7:10,0.28,0.51,0.62,0.17,2.37,2.29,0.08,1.07,19.99,21.06,4.83,,8.41,86.5,8.75,180.3,-0.22,1.09,-4.4,428.6,0
1/17/2023 7:15,0.28,0.34,0.64,0.2,2.31,2.25,0.05,1.06,20.43,21.49,4.28,,8.49,86.4,9.63,174.6,-0.25,1.09,-4.4,428.5,0
1/17/2023 7:20,0.26,0.43,0.6,0.19,2.29,2.22,0.06,0.5,14.62,15.13,10.2,,8.83,86.4,11.6,177.7,-0.22,1.09,-4.4,428.4,0
1/17/2023 7:25,0.24,0.4,0.65,0.16,2.3,2.23,0.07,0.32,10.89,11.22,13.87,,9.19,86.2,10.16,180.8,-0.23,1.09,-4.4,427.1,0
1/17/2023 7:30,0.27,0.44,0.66,0.14,2.35,2.26,0.09,0.4,9.29,9.69,15.5,,9.32,86.1,8.63,181.6,-0.19,1.09,-4.4,427,0
1/17/2023 7:35,0.25,0.48,0.7,0.17,2.38,2.27,0.1,0.34,8.53,8.87,15.86,,9.45,86,11.4,180.3,-0.19,1.09,-4.4,427.2,0
1/17/2023 7:40,0.25,0.34,0.7,0.24,2.4,2.29,0.11,0.36,8.24,8.6,16.88,,9.63,85.8,9.33,177.7,-0.2,1.09,-4.4,427.2,0
1/17/2023 7:45,0.27,0.39,0.68,0.28,2.42,2.3,0.12,0.45,8.31,8.76,16.32,,9.44,85.9,10.68,177.8,-0.3,1.07,-4.4,427.3,0
1/17/2023 7:50,0.28,0.49,0.8,0.31,2.44,2.31,0.13,0.38,7.63,8.01,16.65,,8.93,85.7,12.09,173.7,-0.37,1.07,-4.4,426.7,0
1/17/2023 7:55,0.23,0.4,0.76,0.35,2.46,2.32,0.14,0.35,6.74,7.09,17.83,,8.91,85.4,10.07,176.6,-0.37,1.07,-4.4,427.3,0
1/17/2023 8:00,0.25,0.71,0.78,0.37,2.46,2.32,0.14,0.72,7.09,7.81,17.72,,8.89,85.5,9.34,173.2,-0.2,1.07,-4.49,427.8,0
1/17/2023 8:05,0.26,1.16,0.65,0.27,2.43,2.29,0.14,0.58,6.79,7.37,17.8,,8.77,85.8,8.28,166.7,-0.18,1.07,-4.53,428.5,0
1/17/2023 8:10,0.25,1.79,0.64,0.18,2.39,2.25,0.15,0.37,6.07,6.44,18.66,,8.41,85.9,8.71,169.5,-0.24,1.07,-4.6,428.7,0
1/17/2023 8:15,0.26,1.72,0.66,0.21,2.43,2.26,0.16,0.49,6.11,6.61,18.81,,8,86,9.41,168.5,-0.24,1.05,-4.6,427.8,0
1/17/2023 8:20,0.28,2.13,0.65,0.17,2.33,2.21,0.12,0.56,6.42,6.98,19.46,,7.76,85.5,9.58,170.4,-0.19,1.05,-4.69,427.9,0
1/17/2023 8:25,0.25,2.3,0.62,0.22,2.32,2.2,0.12,0.31,6.05,6.36,19.69,,7.3,85.3,8.6,168.4,-0.09,1.05,-4.7,428.2,0
1/17/2023 8:30,0.27,2.66,0.58,0.19,2.34,2.21,0.13,0.35,6.21,6.57,19.03,,7.03,85.6,7.89,166.5,0.08,1.05,-4.7,428.3,0
1/17/2023 8:35,0.27,3.31,0.65,0.17,2.35,2.21,0.14,0.35,6.37,6.72,18.46,,7.03,85.7,8.24,173.6,0.09,1.05,-4.7,428,0
1/17/2023 8:40,0.27,3.97,0.62,0.18,2.35,2.2,0.15,0.44,6.74,7.17,18.5,,7.06,85.6,9.23,170.5,0.31,1.05,-4.7,428.3,0
1/17/2023 8:45,0.26,3.84,0.58,0.17,2.32,2.19,0.13,0.4,6.91,7.3,18.26,,7.07,85.5,8.11,173.1,0.82,1.05,-4.7,428.9,0
1/17/2023 8:50,0.24,3.64,0.63,0.15,2.3,2.19,0.11,0.37,6.91,7.28,18.23,,7.07,85.5,9.31,167.2,2.06,1.05,-4.7,429.1,0
1/17/2023 8:55,0.26,3.91,0.57,0.16,2.31,2.19,0.12,0.35,7.07,7.42,18.44,,7.08,85.5,9.83,173.4,3.73,1.05,-4.7,429,0
1/17/2023 9:00,0.26,3.25,0.61,0.14,2.28,2.19,0.09,0.42,7.34,7.76,17.96,,7.12,85.3,10.15,171.1,5.48,1.05,-4.71,428.4,0
1/17/2023 9:05,0.26,2.31,0.53,0.18,2.27,2.18,0.09,0.45,7.01,7.46,18.54,,7.08,85.3,10.71,171.8,7.09,1.02,-4.79,428.6,0
1/17/2023 9:10,0.24,1.79,0.63,0.14,2.24,2.17,0.07,0.43,6.18,6.61,19.61,,7.03,85.1,12.18,172,7.77,1.02,-4.8,428.3,0
1/17/2023 9:15,0.23,1.59,0.61,0.15,2.24,2.17,0.08,0.46,5.87,6.33,20.13,,6.94,85.1,11.67,170.9,8.94,1.02,-4.8,428,0
1/17/2023 9:20,0.25,1.44,0.68,0.12,2.25,2.16,0.09,0.55,5.8,6.34,19.79,,6.61,85.1,11.42,176.6,9.87,1.02,-4.8,427.7,0
1/17/2023 9:25,0.25,1.83,0.54,0.09,2.25,2.16,0.09,0.59,5.84,6.43,19.65,,6.25,85,9.17,174,10.62,1,-4.8,427.9,0
