Date_Time,CO,SO2,TRS,H2S,THC,CH4,NMHC,NO,NO2,NOX,O3,NH3,PM2.5,RH,WS,WD,GR,LW,AT 2m,CO2,PC
1/24/2023 6:05,0.25,2.2,1.04,0.46,1.74,1.72,0.02,0.37,12.03,12.4,13.21,,5.23,82.2,10.12,178.2,-0.19,1.11,-10.3,428,0
1/24/2023 6:10,0.27,1.89,0.96,0.41,1.71,1.71,0,0.37,11.32,11.69,14.34,,4.96,82,8.06,176.9,-0.18,1.11,-10.3,427.7,0
1/24/2023 6:15,0.26,1.81,0.97,0.38,1.71,1.71,0,0.38,9.69,10.06,15.58,,4.62,82.2,10.45,177.4,-0.21,1.11,-10.3,427.3,0
1/24/2023 6:20,0.25,1.5,0.81,0.3,1.7,1.7,0,0.33,7.69,8.02,17.02,,4.44,82.1,8.9,175.3,-0.19,1.11,-10.3,426.9,0
1/24/2023 6:25,0.26,1.27,0.7,0.28,1.69,1.69,0,0.34,6.58,6.92,18.34,,4.25,82.3,8.3,170,-0.18,1.11,-10.24,427.2,0
1/24/2023 6:30,0.25,1.12,0.67,0.18,1.68,1.68,0,0.29,5.86,6.15,19.32,,4.06,82.2,8.69,172.2,-0.27,1.11,-10.2,427.4,0
1/24/2023 6:35,0.25,1.1,0.67,0.17,1.66,1.66,0,0.39,5.85,6.24,19.01,,3.97,82.2,9.77,168.5,-0.24,1.11,-10.2,428.1,0
1/24/2023 6:40,0.24,0.86,0.55,0.09,1.65,1.65,0,0.45,5.88,6.32,18.58,,3.9,82.1,9.59,167.5,-0.18,1.09,-10.2,428.4,0
1/24/2023 6:45,0.26,0.9,0.61,0.1,1.63,1.63,0,0.34,4.81,5.16,19.61,,3.89,82.2,8.5,167.9,-0.2,1.09,-10.2,427.4,0
1/24/2023 6:50,0.24,0.8,0.5,0.12,1.62,1.62,0,0.32,4.67,4.99,20.37,,3.89,82.2,7.44,170.4,-0.16,1.09,-10.12,427.2,0
1/24/2023 6:55,0.25,0.92,0.55,0.06,1.6,1.6,0,0.28,4.23,4.5,20.43,,3.91,82,9.22,165,-0.21,1.09,-10.1,427,0
1/24/2023 7:00,0.23,0.86,0.48,0.05,1.59,1.59,0,0.31,3.69,4.01,21.06,,4.15,81.6,10.3,163.6,-0.24,1.09,-10.1,426.3,0
1/24/2023 7:05,0.25,0.91,0.5,0.07,1.58,1.58,0,0.31,3.72,4.02,20.67,,4.49,81.6,9.14,161.9,-0.19,1.09,-10.08,426.1,0
1/24/2023 7:10,0.25,0.91,0.51,0.05,1.59,1.59,0,0.31,3.79,4.1,21,,4.8,81.9,9.15,159,-0.19,1.09,-10,426.2,0
1/24/2023 7:15,0.25,1.35,0.63,0.14,1.6,1.6,0,0.28,4.21,4.49,20.32,,5.23,82.1,9.18,159.7,-0.23,1.09,-10,426.1,0
1/24/2023 7:20,0.26,2.43,0.77,0.23,1.61,1.61,0,0.39,5.22,5.61,19.51,,5.88,82.2,10.16,165.3,-0.15,1.09,-10.02,426.6,0
1/24/2023 7:25,0.28,2.47,0.8,0.3,1.61,1.61,0,0.41,5.84,6.24,18.81,,6.44,82.2,8.93,163.5,-0.23,1.09,-10.04,427.1,0
1/24/2023 7:30,0.26,2.63,0.87,0.32,1.61,1.61,0,0.39,5.42,5.81,18.92,,6.71,82.3,9.72,165.9,-0.21,1.09,-10,427.1,0
1/24/2023 7:35,0.26,2.42,0.81,0.33,1.61,1.61,0,0.41,6.05,6.46,18.51,,6.84,82.6,7.94,169.9,-0.21,1.09,-10,427,0
