Date_Time,CO,SO2,TRS,H2S,THC,CH4,NMHC,NO,NO2,NOX,O3,NH3,PM2.5,RH,WS,WD,GR,LW,AT 2m,CO2,PC
10/20/2022 7:35,0.32,0.04,0.39,0.1,2,2,0,-0.04,0.37,0.33,32.36,2.52,7.9,55.04,6.09,253.5,11.61,-0.45,8.7,423.1,0
10/20/2022 7:40,0.32,0.07,0.42,0.09,2,2,0,0,0.28,0.29,32.44,2.41,7.89,55.26,7.16,251.9,14.84,-0.45,8.7,422.6,0
10/20/2022 7:45,0.32,0.2,0.35,0.08,2,2,0,-0.05,0.25,0.2,32.1,2.32,7.91,54.99,6.52,249.8,18.57,-0.45,8.74,422.6,0
10/20/2022 7:50,0.3,0.06,0.35,0.07,2,2,0,-0.05,0.24,0.19,32.95,2.28,7.81,53.94,7.8,255.1,23.35,-0.45,9.05,421.9,0
10/20/2022 7:55,0.31,0.25,0.38,0.11,2,2,0,-0.06,0.27,0.21,32.81,2.16,7.78,53.18,7.17,237.3,26.82,-0.45,9.25,421.7,0
10/20/2022 8:00,0.32,0.12,0.39,0.13,2,2,0,-0.07,0.19,0.13,33.08,2.13,8.05,52.47,9.12,243.5,34.44,-0.45,9.44,421.5,0
10/20/2022 8:05,0.33,0.09,0.42,0.08,2,2,0,-0.1,0.32,0.22,33.06,2.17,8.41,51.59,8.04,245,28.51,-0.45,9.69,421.2,0
10/20/2022 8:10,0.31,0.19,0.4,0.09,2,2,0,-0.02,0.22,0.19,32.82,2.17,8.54,51.25,6.78,243.1,48.64,-0.45,9.79,421.2,0
10/20/2022 8:15,0.32,0.2,0.42,0.1,1.99,1.99,0,-0.02,0.15,0.13,32.91,2.21,8.5,50.56,7.43,254.4,52.57,-0.45,9.95,421,0
10/20/2022 8:20,0.32,0.28,0.36,0.13,1.99,1.99,0,-0.02,0.14,0.12,32.94,2.24,8.39,50,7.73,253.7,50.64,-0.48,10.17,420.8,0
10/20/2022 8:25,0.34,0.16,0.41,0.08,2,2,0,-0.01,0.12,0.11,33.15,2.18,8.48,48.97,7.25,245.9,43.64,-0.52,10.44,420.5,0
10/20/2022 8:30,0.34,0.37,0.42,0.12,2,2,0,0.02,0.26,0.28,33.31,2.19,8.74,48.4,9.32,245.8,45.03,-0.55,10.52,421,0
10/20/2022 8:35,0.31,0.23,0.3,0.09,2,2,0,-0.02,0.24,0.22,33.16,2.14,8.84,48.4,7.3,261.2,48.87,-0.55,10.51,420.7,0
10/20/2022 8:40,0.32,-0.04,0.38,0.08,2,2,0,-0.06,0.22,0.16,32.81,2.03,8.7,48.48,8.4,240.4,45.14,-0.55,10.5,420.8,0
10/20/2022 8:45,0.33,0.07,0.4,0.15,2,2,0,-0.02,0.13,0.11,32.77,1.97,8.41,48.63,8.65,239.1,47.59,-0.55,10.5,420.6,0
10/20/2022 8:50,0.32,0.18,0.34,0.12,2,2,0,-0.03,0.12,0.1,33.34,1.89,8.39,48.05,8.97,243.2,50.16,-0.57,10.54,420.2,0
10/20/2022 8:55,0.31,0.22,0.4,0.13,2,2,0,-0.04,0.25,0.22,32.86,1.86,8.45,47.98,7.71,247.3,51.83,-0.57,10.6,420.4,0
10/20/2022 9:00,0.31,0.15,0.42,0.11,2,2,0,-0.04,0.26,0.22,32.79,1.87,8.46,48.03,8,242.7,55.32,-0.57,10.6,420.6,0
10/20/2022 9:05,0.31,0.18,0.42,0.11,2,2,0,-0.03,0.18,0.15,33.03,1.88,8.44,47.64,6.66,253.2,67.85,-0.57,10.65,420.2,0
10/20/2022 9:10,0.3,0.06,0.38,0.12,2,2,0,0.01,0.34,0.35,32.65,1.92,8.6,47.54,8.36,248.5,77.31,-0.59,10.74,420.5,0
10/20/2022 9:15,0.32,0,0.39,0.12,2,2,0,0.03,0.22,0.25,32.68,1.88,8.82,46.87,9.35,254.8,77.87,-0.59,10.84,420.7,0
10/20/2022 9:20,0.33,0.22,0.41,0.1,2,2,0,-0.01,0.25,0.23,32.89,1.77,8.81,46.72,10.62,252,74.03,-0.61,10.9,420.6,0
10/20/2022 9:25,0.32,0.19,0.39,0.12,2,2,0,-0.06,0.23,0.16,32.7,1.69,8.65,46.47,8.25,249.5,77.64,-0.61,10.9,420.4,0
10/20/2022 9:30,0.32,0.08,0.39,0.13,2,2,0,-0.04,0.19,0.15,32.28,1.59,8.54,46.56,7.96,259.9,75.31,-0.61,10.84,420.2,0
10/20/2022 9:35,0.32,0.07,0.45,0.13,2,2,0,-0.03,0.16,0.13,32.21,1.6,8.55,46.03,8.82,263.8,68.36,-0.61,10.9,419.8,0
10/20/2022 9:40,0.33,0.24,0.39,0.12,2,2,0,-0.04,0.13,0.08,32.69,1.68,8.65,46.18,6.82,255.3,73.4,-0.61,10.87,419.6,0
10/20/2022 9:45,0.31,0.12,0.37,0.1,2,2,0,0,0.09,0.09,32.37,1.71,8.72,46.3,7.09,253.7,108.8,-0.59,10.81,419.6,0
