Date_Time,CO,SO2,TRS,H2S,THC,CH4,NMHC,NO,NO2,NOX,O3,NH3,PM2.5,RH,WS,WD,GR,LW,AT 2m,CO2,PC
10/25/2022 4:05,,0.17,0.24,0.11,2.05,2.05,0,-0.02,4.27,4.25,2.19,6.34,4.9,94.4,2.43,296,-0.27,2.84,-1,,0
10/25/2022 4:10,,0.1,0.22,0.13,2.04,2.04,0,-0.06,4.31,4.25,2.05,5.82,4.82,94.4,3.53,306.7,-0.25,2.84,-1,,0
10/25/2022 4:15,,0.16,0.28,0.14,2.04,2.04,0,-0.05,3.77,3.72,2,5.23,4.72,94.4,2.76,297,-0.25,2.84,-1.1,,0
10/25/2022 4:20,,0.07,0.21,0.12,2.05,2.05,0,-0.06,3.71,3.64,1.96,4.84,4.61,94.6,2.92,303.2,-0.29,2.84,-1.06,,0
10/25/2022 4:25,,0.17,0.3,0.1,2.05,2.05,0,-0.04,3.82,3.78,1.84,4.41,4.53,94.6,3.22,312.9,-0.23,2.84,-1.1,,0
10/25/2022 4:30,,0.13,0.2,0.14,2.05,2.05,0,-0.06,3.55,3.48,2.15,4.05,4.48,94.6,2.65,305.3,-0.25,2.84,-1.1,,0
10/25/2022 4:35,,-0.03,0.25,0.08,2.05,2.05,0,-0.09,3.55,3.46,2.51,3.73,4.31,94.6,2.98,319.2,-0.18,2.84,-1.08,,0
10/25/2022 4:40,,0.28,0.2,0.11,2.05,2.05,0,-0.08,3.5,3.42,2.7,3.51,4.19,94.5,1.96,328.2,-0.21,2.84,-1,,0
10/25/2022 4:45,,0.03,0.23,0.11,2.05,2.05,0,-0.06,3.37,3.31,2.71,3.47,4.12,94.5,0.03,344.3,-0.25,2.84,-1,,0
10/25/2022 4:50,,0.07,0.21,0.14,2.05,2.05,0,-0.08,3.19,3.11,2.76,3.37,4.14,94.5,0,0,-0.2,2.84,-0.98,,0
10/25/2022 4:55,,0.21,0.27,0.12,2.05,2.05,0,0,3.15,3.15,1.82,3.25,4.24,94.7,0,0,-0.19,2.84,-0.81,,0
10/25/2022 5:00,0.25,0.28,0.27,0.13,,,,-0.01,3.81,3.8,2.57,3.1,4.41,94.6,0,0,-0.14,2.84,-0.8,439.9,0
10/25/2022 5:05,0.27,,0.27,0.12,,,,-0.03,3.27,3.24,2.19,2.91,4.4,94.3,0,0,-0.2,2.84,-0.88,442.9,0
10/25/2022 5:10,0.26,,0.26,0.11,,,,0.04,3.12,3.16,2.16,2.77,4.28,94.4,0.23,272.7,-0.21,2.84,-0.81,442.1,0
10/25/2022 5:15,0.26,,0.24,0.12,,,,0.03,3.68,3.71,2.94,2.68,4.22,94.3,1.88,237.2,-0.23,2.84,-0.86,439.5,0
10/25/2022 5:20,0.28,,0.27,0.13,,,,1.62,5.33,6.95,2.12,2.58,4.28,94.3,0.4,209.5,-0.22,2.84,-0.72,444.3,0
10/25/2022 5:25,0.28,,0.2,0.18,,,,0.99,4.34,5.33,1.4,2.46,4.37,94.1,0.41,200.9,-0.22,2.86,-0.69,445.8,0
10/25/2022 5:30,0.27,,0.3,0.12,,,,0.94,4.85,5.79,1.47,2.41,4.55,94,1.92,185.1,-0.21,2.86,-0.66,445.8,0
10/25/2022 5:35,0.26,,0.24,0.13,,,,0.73,4.57,5.31,1.29,2.25,4.72,93.9,2.87,199.4,-0.19,2.89,-0.6,447.7,0
10/25/2022 5:40,0.29,,0.18,0.11,,,,1.04,5.33,6.36,1.1,2.21,5.99,93.7,2.99,216.9,-0.21,2.89,-0.68,446.9,0
10/25/2022 5:45,0.3,,0.26,0.13,,,,1.47,4.98,6.45,1.1,2.12,8.01,93.7,2.81,222.8,-0.24,2.89,-0.7,449.2,0
10/25/2022 5:50,0.32,,0.25,0.12,,,,0.82,4.64,5.45,1.6,2,7.1,93.9,3.27,201.8,-0.2,2.89,-0.62,447.8,0
10/25/2022 5:55,0.29,,0.27,0.12,,,,1.12,4.91,6.02,1.71,1.98,5.21,93.9,3.17,200.4,-0.19,2.89,-0.48,449.9,0
10/25/2022 6:00,0.31,0.17,0.25,0.12,2.05,2.05,0,1.05,5.53,6.58,1.72,2.03,8.24,93.6,2.72,206.3,-0.23,2.89,-0.4,444.5,0
10/25/2022 6:05,0.29,0.37,0.3,0.13,2.05,2.05,0,0.38,5,5.38,2.2,2.04,9.41,93.3,2.55,187.1,-0.16,2.89,-0.4,443.9,0
10/25/2022 6:10,0.3,0.25,0.22,0.12,2.05,2.05,0,0.62,4.74,5.36,2.22,2.01,7.37,92.8,2.43,163.1,-0.21,2.91,-0.46,446,0
10/25/2022 6:15,0.32,0.23,0.16,0.09,2.05,2.05,0,0.77,4.17,4.95,1.22,1.96,6.33,93,1.43,143.6,-0.22,2.91,-0.46,453.6,0
10/25/2022 6:20,0.31,0.37,0.24,0.07,2.05,2.05,0,0.66,3.93,4.58,1.08,1.79,7.53,93.2,0.43,92.1,-0.25,2.91,-0.51,453.7,0
10/25/2022 6:25,0.27,0.14,0.21,0.12,2.07,2.07,0,0.31,2.45,2.76,0.7,1.8,7.61,93.2,0.17,71.48,-0.23,2.89,-0.68,464.6,0
10/25/2022 6:30,0.25,0.15,0.25,0.12,2.07,2.07,0,0.17,2.43,2.61,1.49,1.75,6.24,93.5,1.68,335,-0.19,2.89,-0.88,462.9,0
10/25/2022 6:35,0.26,0.19,0.32,0.11,2.06,2.06,0,0.14,2.9,3.05,1.56,1.71,5.19,94,0,0,-0.23,2.89,-1,455.1,0
