Date_Time,CO,SO2,TRS,H2S,THC,CH4,NMHC,NO,NO2,NOX,O3,NH3,PM2.5,RH,WS,WD,GR,LW,AT 2m,CO2,PC
11/8/2022 6:05,0.23,0.15,0.45,0.51,2.36,2.32,0.04,-0.03,16.87,16.84,8.51,4.5,9.27,79.34,10.13,3.16,-0.23,0.82,-15.2,418.6,
11/8/2022 6:10,0.23,0.25,0.44,0.5,2.37,2.33,0.04,-0.12,16.55,16.44,8.6,3.89,8.84,79.44,11.92,1.46,-0.26,0.82,-15.2,418.3,
11/8/2022 6:15,0.24,0.3,0.42,0.48,2.37,2.33,0.05,-0.12,16.08,15.96,9.24,3.57,8.72,79.4,11.8,1.16,-0.27,0.82,-15.2,417.5,
11/8/2022 6:20,0.24,0.26,0.54,0.49,2.37,2.32,0.05,-0.07,15.7,15.63,9.5,3.29,8.49,79.31,12.9,1.13,-0.25,0.82,-15.28,417.4,
11/8/2022 6:25,0.23,0.3,0.47,0.45,2.34,2.31,0.02,-0.09,14.14,14.05,10.74,3.11,7.92,79.19,12.77,4.57,-0.26,0.82,-15.3,416.9,
11/8/2022 6:30,0.23,0.28,0.49,0.44,2.34,2.3,0.04,-0.09,12.43,12.34,12.84,2.92,6.88,79.08,10.06,4.7,-0.27,0.8,-15.3,416.4,
11/8/2022 6:35,0.21,0.3,0.54,0.47,2.35,2.31,0.04,-0.07,12.25,12.18,13.12,2.64,6.11,79.25,12.42,3.87,-0.25,0.8,-15.3,417,
11/8/2022 6:40,0.23,0.14,0.47,0.44,2.34,2.32,0.02,-0.15,11.9,11.75,12.97,2.37,5.89,79.13,11.32,3.47,-0.25,0.8,-15.3,417.2,
11/8/2022 6:45,0.23,0.2,0.54,0.51,2.34,2.32,0.02,-0.14,11.72,11.58,13.18,2.28,5.72,79.1,13.34,359.2,-0.25,0.8,-15.35,416.8,
11/8/2022 6:50,0.24,0.44,0.51,0.49,2.37,2.35,0.02,-0.14,12.45,12.32,12.33,2.18,5.7,79.07,11.11,5,-0.28,0.8,-15.39,416.9,
11/8/2022 6:55,0.24,0.16,0.56,0.42,2.37,2.34,0.03,-0.09,12.6,12.51,12.44,2.25,5.76,79.32,8.84,1.08,-0.28,0.8,-15.4,418,
11/8/2022 7:00,0.26,0.21,0.53,0.42,2.36,2.32,0.05,-0.09,13.08,12.99,11.75,2.22,5.79,79.66,9.44,358.5,-0.34,0.8,-15.45,419.8,
11/8/2022 7:05,0.25,0.2,0.47,0.38,2.33,2.3,0.03,-0.11,15.1,14.99,9.89,2.04,5.97,80,11.18,0.84,-0.26,0.8,-15.5,420.6,
11/8/2022 7:10,0.25,0.31,0.41,0.38,2.33,2.3,0.03,-0.07,15.98,15.91,9.16,1.86,6,80.1,9.76,2.34,-0.29,0.8,-15.5,421.2,
11/8/2022 7:15,0.24,0.25,0.4,0.37,2.32,2.29,0.03,0,16.81,16.81,8.53,1.53,6.02,80.3,9.08,352.8,-0.3,0.8,-15.6,421.4,
11/8/2022 7:20,0.25,0.29,0.42,0.41,2.3,2.28,0.03,0.04,17.84,17.87,7.28,1.39,6.18,80.7,9.86,352.1,-0.24,0.8,-15.6,421.2,
11/8/2022 7:25,0.24,0.19,0.45,0.38,2.29,2.26,0.03,0,17.1,17.09,7.92,1.28,6.26,80.9,9.88,352.6,-0.19,0.8,-15.67,421.6,
11/8/2022 7:30,0.24,0.19,0.37,0.36,2.29,2.25,0.04,-0.02,16.72,16.7,8.2,1.25,6.19,81.1,10.21,353.5,-0.12,0.8,-15.7,421.3,
11/8/2022 7:35,0.26,0.28,0.38,0.4,2.29,2.25,0.04,-0.05,16.68,16.63,8.5,1.31,6.1,81.2,10.85,350.3,0,0.8,-15.7,420.9,
11/8/2022 7:40,0.23,0.38,0.3,0.39,2.28,2.25,0.03,0.07,17.23,17.3,7.6,1.26,5.95,81.3,10.63,351.2,0.14,0.8,-15.73,422,
11/8/2022 7:45,0.25,0.2,0.39,0.4,2.28,2.25,0.03,0.21,18.13,18.33,7.13,1.27,6.06,81.5,11.1,349.5,0.71,0.8,-15.77,423,
