Date_Time,CO,SO2,TRS,H2S,THC,CH4,NMHC,NO,NO2,NOX,O3,NH3,PM2.5,RH,WS,WD,GR,LW,AT 2m,CO2,PC
11/22/2022 6:05,0.28,2.33,1.74,1.3,2.61,2.55,0.06,0.06,10.33,10.39,13.5,1.67,10.05,90.8,7.85,177.2,-0.06,3.16,-3.48,431.6,0
11/22/2022 6:10,0.28,2.19,1.73,1.25,2.66,2.61,0.05,0.05,9.42,9.48,14.46,1.65,9.94,90.7,6.33,180,-0.02,3.16,-3.4,430.8,0
11/22/2022 6:15,0.26,1.71,1.45,1.1,2.72,2.66,0.06,0,9.17,9.17,14.62,1.46,9.57,90.6,6.68,176.5,-0.03,3.16,-3.4,430.5,0
11/22/2022 6:20,0.28,1.82,1.38,1.02,2.71,2.65,0.05,0,9.28,9.28,14.62,1.43,8.92,90.7,6.19,176.4,-0.04,3.16,-3.4,430.9,0
11/22/2022 6:25,0.28,1.59,1.39,0.97,2.69,2.63,0.06,0,9.68,9.68,14.68,1.43,8.47,90.8,8.06,186.3,0.02,3.18,-3.32,431.3,0
11/22/2022 6:30,0.29,1.45,1.24,0.94,2.66,2.59,0.07,0.03,9.81,9.85,14.15,1.51,8.18,90.6,8.16,190.7,-0.03,3.18,-3.3,431.6,0
11/22/2022 6:35,0.29,1.5,1.3,0.97,2.64,2.55,0.08,0.03,9.9,9.93,14.49,1.51,7.83,90.6,8.35,194.2,-0.01,3.23,-3.21,432.3,0
11/22/2022 6:40,0.29,1.42,1.2,0.95,2.6,2.53,0.07,0.03,9.94,9.96,14.06,1.51,7.54,90.5,7.77,184.9,-0.01,3.23,-3.17,432.8,0
11/22/2022 6:45,0.28,1.46,1.14,0.97,2.57,2.48,0.09,0,10.13,10.14,14.24,1.39,7.33,90.6,7.06,181.3,0.03,3.23,-3.04,432.8,0
11/22/2022 6:50,0.3,1.47,1.25,0.95,2.53,2.45,0.09,0,10.14,10.14,14.2,1.28,7.29,90.4,7.36,176.3,0.02,3.27,-3,433,0
