Date_Time,CO,SO2,TRS,H2S,THC,CH4,NMHC,NO,NO2,NOX,O3,NH3,PM2.5,RH,WS,WD,GR,LW,AT 2m,CO2,PC
11/29/2022 6:05,0.14,0.16,0.51,0.82,2.16,2.16,0,,8.37,8.18,22.57,0.63,3.69,73.05,16.59,13.34,-0.24,-0.2,-18.6,419.5,0
11/29/2022 6:10,0.14,0.27,0.44,0.69,2.17,2.17,0,,8.63,8.38,22.38,0.58,3.52,73.1,15.52,18.37,-0.25,-0.2,-18.63,420,0
11/29/2022 6:15,0.14,0.17,0.52,0.69,2.2,2.2,0,,9.19,8.96,21.89,0.48,3.52,73.3,15.65,11.11,-0.22,-0.2,-18.7,420.1,0
11/29/2022 6:20,0.14,0.15,0.46,0.61,2.21,2.21,0,,8.82,8.54,22.51,0.4,3.34,73.53,15.02,8.6,-0.25,-0.2,-18.75,419.5,0.05
11/29/2022 6:25,0.14,0.17,0.48,0.56,2.17,2.17,0,,8.65,8.39,22.23,0.41,3.29,73.59,14.6,11.3,-0.27,-0.2,-18.8,419.2,0
11/29/2022 6:30,0.14,0.16,0.44,0.54,2.18,2.18,0,,9.25,9.01,21.76,0.46,3.44,73.71,13,13.35,-0.3,-0.2,-18.8,419.2,0
11/29/2022 6:35,0.13,0.31,0.45,0.5,2.18,2.18,0,,11.43,11.24,19.58,0.46,3.48,73.68,11.39,17.98,-0.29,-0.2,-18.8,419.4,0
11/29/2022 6:40,0.11,0.2,0.4,0.55,2.16,2.16,0,,11.95,11.76,19.17,0.38,3.6,73.61,11.21,21.42,-0.27,-0.2,-18.83,420.2,0
11/29/2022 6:45,0.12,0.24,0.44,0.43,2.1,2.1,0,,10.22,10.02,20.79,0.22,3.53,73.42,12.84,23.88,-0.28,-0.2,-18.9,420.2,0
11/29/2022 6:50,0.13,0.15,0.44,0.42,2.07,2.07,0,,10.1,9.86,20.93,0.09,3.45,73.24,13.65,24.4,-0.29,-0.2,-18.9,419.6,0
11/29/2022 6:55,0.12,0.12,0.46,0.47,2.08,2.08,0,,10.47,10.2,20.75,0.02,3.36,73.06,12.94,22.61,-0.29,-0.2,-18.9,419.2,0
11/29/2022 7:00,0.14,0.23,0.41,0.44,2.08,2.08,0,,10.34,10.14,20.7,0.02,3.3,73.07,15.67,22.44,-0.27,-0.2,-18.98,419.2,0
11/29/2022 7:05,0.14,0.24,0.44,0.42,2.08,2.08,0,,10.53,10.32,20.53,0.03,3.39,72.9,10.64,20.62,-0.22,-0.2,-19,419.2,0
11/29/2022 7:10,0.13,0.22,0.43,0.44,2.06,2.06,0,,10.59,10.51,20.65,0,3.36,73.08,14.69,20.22,-0.25,-0.2,-19,419.9,0.05
11/29/2022 7:15,0.14,0.25,0.44,0.4,2.06,2.06,0,,10.37,10.17,20.1,-0.06,3.2,73.08,12.26,15.73,-0.23,-0.2,-19.04,420.1,0
11/29/2022 7:20,0.14,0.24,0.43,0.4,2.07,2.07,0,,10.25,10.02,20.29,-0.03,2.99,73.2,14.24,17.9,-0.31,-0.2,-19.1,419.9,0
11/29/2022 7:25,0.16,0.14,0.46,0.41,2.07,2.07,0,,9.52,9.32,21.42,0,3.01,72.99,13.98,16.38,-0.27,-0.23,-19.1,419.2,0
11/29/2022 7:30,0.14,0.08,0.41,0.4,2.07,2.07,0,,10.48,10.25,20.73,0,3.13,73.11,13.43,10.19,-0.3,-0.2,-19.1,419.1,0
11/29/2022 7:35,0.13,0.2,0.4,0.39,2.08,2.08,0,,11.01,11.08,20.12,0,3.17,73.29,12.46,16.28,-0.27,-0.2,-19.1,419.1,0
11/29/2022 7:40,0.12,0.13,0.42,0.4,2.07,2.07,0,,9.48,9.36,21.64,0,3.14,73.35,13.72,12.96,-0.25,-0.2,-19.13,419.6,0
